Created Date,C.ID,Loan Amount Requried,Own House,Existing Loan Obligations,Business Segment ,Business Product,Turnover,Status,CCT Approved Date,Bounce Status 
2020-09-03 13:13:58,658,150000,Yes,26394,Trading,Pharmacy,15000,CCT Approved,2020-09-07 19:12:17,On Time
2020-08-07 12:26:10,656,100000,No,5684,Trading,Footwear,6000,CCT Approved,2020-08-18 14:36:03,On Time
2020-07-15 17:00:28,654,125000,No,0,Trading,Cloth Store,6000,CCT Approved,2020-07-17 19:41:46,Bounce
2020-07-14 16:58:20,653,150000,Yes,11739,Trading,Auto and Allied Services Works,9000,CCT Approved,2020-07-17 19:42:12,Bounce
2020-07-14 11:25:03,651,125000,No,7691,Trading,Cloth Store,5000,CCT Approved,2020-07-15 13:37:05,Bounce
2020-07-13 11:39:17,650,100000,No,0,Trading,Fancy Store,7000,CCT Approved,2020-07-13 18:54:16,Bounce
2020-07-13 11:03:34,648,150000,Yes,0,Trading,Pharmacy,10000,CCT Approved,2020-07-14 12:46:46,Bounce
2020-07-11 15:52:10,647,100000,No,9390,Trading and Services,Tailoring and Embroidery,4000,CCT Approved,2020-07-23 10:47:42,Bounce
2020-07-11 14:46:26,646,100000,Yes,2200,Trading,Fancy Store,4000,CCT Approved,2020-07-14 17:13:16,Bounce
2020-07-11 13:52:52,645,150000,Yes,0,Trading,Auto and Allied Services Works,8000,CCT Approved,2020-07-13 12:37:48,Bounce
2020-07-11 13:00:32,643,150000,No,10978,Trading,General Store,7000,CCT Approved,2020-07-17 19:49:32,On Time
2020-07-11 12:12:32,642,150000,No,0,Trading,Fancy Store,6000,CCT Approved,2020-07-13 18:50:22,Bounce
2020-07-10 17:35:35,640,150000,Yes,36061,Trading,Kiranam,15000,CCT Approved,2020-07-13 12:36:09,On Time
2020-07-10 15:34:28,639,125000,Yes,0,Trading,General Store,8000,CCT Approved,2020-07-11 11:52:36,On Time
2020-07-10 13:57:01,638,100000,Yes,0,Trading,General Store,8000,CCT Approved,2020-07-14 12:38:14,On Time
2020-07-10 13:27:29,637,150000,Yes,0,Trading,Cloth Store,4000,CCT Approved,2020-07-17 19:47:00,On Time
2020-07-10 11:32:00,634,150000,Yes,13487,Trading,Kiranam,9000,CCT Approved,2020-07-14 12:37:50,Bounce
2020-07-10 11:20:56,632,100000,No,2631,Trading,Fancy Store,5000,CCT Approved,2020-07-11 15:09:49,Bounce
2020-07-09 16:05:33,630,150000,Yes,0,Trading,Electrical Business,20000,CCT Approved,2020-07-10 17:32:24,Bounce
2020-07-09 14:32:55,626,150000,No,0,Trading,Cloth Store,6000,CCT Approved,2020-07-11 11:52:53,Bounce
2020-07-09 12:32:45,625,100000,No,0,Trading,Cloth Store,6000,CCT Approved,2020-07-17 19:53:21,On Time
2020-07-09 11:04:54,624,100000,Yes,0,Trading and Services,Tailoring and Embroidery,3000,CCT Approved,2020-07-11 15:06:22,On Time
2020-07-08 12:52:41,619,150000,No,0,Trading,Cloth Store,8000,CCT Approved,2020-07-11 15:08:00,Bounce
2020-07-08 11:39:29,618,150000,Yes,0,Trading and Services,Dairy Products,8000,CCT Approved,2020-07-14 12:43:57,Bounce
2020-07-08 10:26:43,617,150000,Yes,3850,Trading,"Cement,Hardware & Iron",11000,CCT Approved,2020-07-09 12:56:16,Bounce
2020-07-07 18:22:20,616,50000,Yes,1114,Trading,General Store,5000,CCT Approved,2020-07-10 17:30:10,Bounce
2020-07-07 16:55:50,614,150000,Yes,0,Trading,Pharmacy,9000,CCT Approved,2020-07-09 21:28:13,Bounce
2020-07-07 16:40:18,613,150000,Yes,0,Trading,Cloth Store,6000,CCT Approved,2020-07-10 17:24:22,Bounce
2020-07-07 15:29:24,611,150000,Yes,0,Trading and Services,Auto and Allied Services Works,7000,CCT Approved,2020-07-14 17:06:25,On Time
2020-07-07 15:20:58,610,150000,Yes,0,Trading,Auto and Allied Services Works,20000,CCT Approved,2020-07-08 16:04:20,On Time
2020-07-07 13:24:25,608,125000,No,0,Trading,Cloth Store,6000,CCT Approved,2020-07-13 18:52:24,Defaulter
2020-07-07 12:12:49,606,150000,No,12812,Trading,Cloth Store,16000,CCT Approved,2020-07-08 11:35:45,On Time
2020-07-06 17:00:16,604,70000,No,12402,Trading,Cloth Store,8000,CCT Approved,2020-07-07 18:47:13,On Time
2020-07-06 15:40:43,603,125000,Yes,10978,Trading,Auto and Allied Services Works,6500,CCT Approved,2020-07-09 21:30:05,Bounce
2020-07-06 14:30:44,601,150000,Yes,1914,Trading,General Store,15000,CCT Approved,2020-07-07 18:41:42,On Time
2020-07-06 14:00:08,600,150000,No,0,Trading,Footwear,3000,CCT Approved,2020-07-10 17:43:19,Bounce
2020-07-04 12:15:31,598,150000,No,10978,Trading,Kiranam,20000,CCT Approved,2020-07-07 12:05:43,Pre Closed
2020-07-03 13:12:47,595,125000,No,0,Trading and Services,Cloth Store,6000,CCT Approved,2020-07-07 18:45:04,Bounce
2020-07-03 12:03:27,593,150000,Yes,2593,Trading,Pharmacy,7000,CCT Approved,2020-07-06 16:37:14,Bounce
2020-07-03 11:01:38,592,100000,Yes,11323,Trading,Pharmacy,8000,CCT Approved,2020-07-03 18:26:42,On Time
2020-07-02 14:47:21,590,150000,Yes,38123,Trading,Auto and Allied Services Works,15000,CCT Approved,2020-07-12 6:57:12,Bounce
2020-07-02 12:46:41,586,70000,Yes,10775,Trading and Services,Auto and Allied Services Works,6000,CCT Approved,2020-07-09 21:27:46,Bounce
2020-07-02 12:41:04,585,150000,No,1161,Trading,Cloth Store,6000,CCT Approved,2020-07-03 18:24:50,
2020-07-02 11:02:31,581,150000,Yes,0,Trading and Services,Auto and Allied Services Works,20000,CCT Approved,2020-07-09 21:28:58,Bounce
2020-07-01 12:44:22,580,150000,Yes,42987,Trading,Manufacturing Business,15000,CCT Approved,2020-07-15 19:59:16,On Time
2020-07-01 12:30:24,578,100000,Yes,13324,Trading,Fancy Store,6000,CCT Approved,2020-07-04 17:09:55,On Time
2020-06-29 15:23:35,572,150000,Yes,0,Trading,Home Appliances,5000,CCT Approved,2020-06-30 12:16:56,On Time
2020-06-29 11:41:52,570,150000,Yes,7050,Trading and Services,Auto and Allied Services Works,15000,CCT Approved,2020-07-01 11:20:38,Bounce
2020-06-29 11:18:22,569,150000,Yes,2500,Trading,Cloth Store,4000,CCT Approved,2020-07-16 17:40:09,Defaulter
2020-06-27 12:04:59,566,150000,Yes,15478,Trading,Cloth Store,6000,CCT Approved,2020-06-28 12:07:47,Bounce
2020-06-27 10:57:16,561,150000,Yes,21255,Trading,Home Appliances,9000,CCT Approved,2020-06-30 12:22:27,On Time
2020-06-27 10:42:11,560,150000,Yes,8380,Trading,Pharmacy,10000,CCT Approved,2020-06-28 11:49:27,Bounce
2020-06-26 16:50:45,559,125000,No,0,Trading,Cloth Store,6500,CCT Approved,2020-06-28 12:11:23,Bounce
2020-06-26 14:27:51,556,150000,Yes,5694,Trading,Pharmacy,9000,CCT Approved,2020-06-27 15:14:11,Bounce
2020-06-26 13:37:56,555,50000,No,1333,Trading,Footwear,5000,CCT Approved,2020-06-27 15:16:20,Bounce
2020-06-26 12:54:15,553,150000,Yes,0,Trading,Pharmacy,5000,CCT Approved,2020-06-27 11:45:00,On Time
2020-06-26 11:06:17,550,150000,No,0,Trading,Footwear,6000,CCT Approved,2020-06-27 11:45:38,On Time
2020-06-25 12:57:43,539,150000,No,2415,Trading,Cloth Store,6000,CCT Approved,2020-07-16 17:42:26,On Time
2020-06-25 12:36:56,538,150000,Yes,0,Trading,"Cement,Hardware & Iron",20000,CCT Approved,2020-06-26 11:50:42,On Time
2020-06-25 12:02:12,537,150000,Yes,0,Trading,Kiranam,6000,CCT Approved,2020-06-29 14:51:15,Bounce
